date,COD,avg_inflow,iso_label,iso_score,iso_anomaly,lstm_error,lstm_anomaly,both,only_if,only_lstm,neither
2017-01-15,780.0,6.011,-1,-0.030769860959070527,1,0.0345142155848014,1,1,0,0,0
2017-01-16,1000.0,6.474,-1,-0.05023776180923556,1,0.030320746943584307,1,1,0,0,0
2017-01-17,910.0,5.151,1,0.010603096072364704,0,0.02715815867378199,1,0,0,1,0
2017-01-18,1200.0,4.138,1,0.029977467566298044,0,0.02417164869258311,1,0,0,1,0
2017-01-19,1300.0,4.229,1,0.027990982381770835,0,0.02214724927166942,0,0,0,0,1
2017-01-22,720.0,6.706,-1,-0.024153481274318045,1,0.019312059838946693,0,0,1,0,0
2017-01-23,1000.0,5.424,1,0.0004004210822611265,0,0.01543568089465067,0,0,0,0,1
2017-01-24,1100.0,5.579,1,0.037067876168559166,0,0.012692437745200041,0,0,0,0,1
2017-01-26,790.0,6.513,1,0.0009136664300809505,0,0.010385147586949058,0,0,0,0,1
2017-01-29,1300.0,6.404,1,0.002970705717208255,0,0.009697449876378357,0,0,0,0,1
2017-01-30,820.0,5.337,-1,-0.030507086467395417,1,0.010116180808381428,0,0,1,0,0
2017-01-31,1000.0,4.601,1,0.06302515050344548,0,0.009646360129197257,0,0,0,0,1
2017-02-01,920.0,4.609,1,0.06265526061802607,0,0.01053175595651003,0,0,0,0,1
2017-02-02,910.0,4.44,1,0.0687699511720144,0,0.010303723249722771,0,0,0,0,1
2017-02-05,1300.0,5.269,1,0.0010696882253016238,0,0.01163503154958633,0,0,0,0,1
2017-02-06,610.0,5.635,-1,-0.051107479248503895,1,0.0159844486942183,0,0,1,0,0
2017-02-07,930.0,5.215,1,0.04966832526972992,0,0.015168138304343408,0,0,0,0,1
2017-02-08,810.0,4.03,1,0.010516617061937072,0,0.016330332095573715,0,0,0,0,1
2017-02-09,670.0,3.994,1,0.04564161564771102,0,0.01635500476858192,0,0,0,0,1
